"SchoolNumber" "Number" "Advanced" "Proficient" "Basic" "BelowBasic" "Mathmean" "default" "high" "low" "both"
"1" "000000003" 139 26.6 38.8 20.1 14.4 1380 "black" "black" "black" "black"
"2" "000000014" 166 12 34.3 25.9 27.7 1290 "black" "black" "black" "black"
"3" "000000017" 259 18.9 29 27 25.1 1320 "black" "black" "black" "black"
"4" "000000021" 118 20.3 32.2 22 25.4 1320 "black" "black" "black" "black"
"5" "000000029" 108 24.1 27.8 19.4 28.7 1330 "black" "black" "black" "black"
"6" "000000050" 422 29.9 35.1 23.2 11.8 1390 "black" "black" "black" "black"
"7" "000000053" 101 22.8 33.7 19.8 23.8 1340 "black" "black" "black" "black"
"8" "000000062" 409 39.4 35.2 13.4 12 1420 "black" "black" "black" "black"
"9" "000000070" 132 13.6 30.3 25.8 30.3 1290 "black" "black" "black" "black"
"10" "000000079" 129 17.8 33.3 28.7 20.2 1330 "black" "black" "black" "black"
"11" "000000107" 358 15.1 23.2 22.6 39.1 1260 "black" "black" "black" "black"
"12" "000000125" 33 0 12.1 18.2 69.7 1090 "black" "black" "black" "black"
"13" "000000144" 197 6.6 37.6 22.3 33.5 1270 "black" "black" "black" "black"
"14" "000000156" 347 39.8 28.2 15 17 1430 "black" "black" "black" "black"
"15" "000000170" 323 19.2 27.6 18.6 34.7 1280 "black" "black" "black" "black"
"16" "000000196" 163 17.8 23.3 28.2 30.7 1280 "black" "black" "black" "black"
"17" "000000254" 435 58.2 25.3 9 7.6 1520 "black" "blue" "black" "blue"
"18" "000000309" 446 10.1 17.3 20 52.7 1200 "black" "black" "black" "black"
"19" "000000315" 262 36.6 35.9 16.4 11.1 1420 "black" "black" "black" "black"
"20" "000000409" 323 41.2 21.4 16.7 20.7 1410 "black" "black" "black" "black"
"21" "000000412" 246 11.8 24.4 27.2 36.6 1240 "black" "black" "black" "black"
"22" "000000415" 105 11.4 32.4 17.1 39 1260 "black" "black" "black" "black"
"23" "000000416" 238 17.6 26.9 29 26.5 1310 "black" "black" "black" "black"
"24" "000000417" 83 0 9.6 32.5 57.8 1130 "black" "black" "black" "black"
"25" "000000420" 113 0.9 7.1 13.3 78.8 1090 "black" "black" "black" "black"
"26" "000000422" 160 1.3 18.8 20 60 1150 "black" "black" "black" "black"
"27" "000000424" 128 5.5 10.9 10.9 72.7 1120 "black" "black" "black" "black"
"28" "000000425" 271 20.7 25.1 21.4 32.8 1290 "black" "black" "black" "black"
"29" "000000435" 335 29 34.6 18.2 18.2 1370 "black" "black" "black" "black"
"30" "000000440" 121 9.9 16.5 39.7 33.9 1250 "black" "black" "black" "black"
"31" "000000448" 152 39.5 25.7 16.4 18.4 1420 "black" "black" "black" "black"
"32" "000000460" 408 25.2 35.8 17.2 21.8 1350 "black" "black" "black" "black"
"33" "000000467" 192 17.2 35.4 20.3 27.1 1320 "black" "black" "black" "black"
"34" "000000470" 133 25.6 30.1 21.1 23.3 1330 "black" "black" "black" "black"
"35" "000000477" 80 2.5 10 31.3 56.3 1150 "black" "black" "black" "black"
"36" "000000492" 337 62.6 24.6 8.3 4.5 1550 "black" "blue" "black" "blue"
"37" "000000509" 226 26.1 30.5 19.9 23.5 1360 "black" "black" "black" "black"
"38" "000000513" 190 14.7 31.6 24.2 29.5 1290 "black" "black" "black" "black"
"39" "000000523" 250 31.2 29.2 24 15.6 1390 "black" "black" "black" "black"
"40" "000000536" 258 13.2 23.3 30.6 32.9 1270 "black" "black" "black" "black"
"41" "000000555" 61 1.6 3.3 27.9 67.2 1120 "black" "black" "black" "black"
"42" "000000582" 60 5 31.7 35 28.3 1250 "black" "black" "black" "black"
"43" "000000594" 149 28.9 32.2 18.1 20.8 1380 "black" "black" "black" "black"
"44" "000000596" 150 17.3 33.3 26.7 22.7 1320 "black" "black" "black" "black"
"45" "000000603" 56 17.9 32.1 16.1 33.9 1270 "black" "black" "black" "black"
"46" "000000640" 156 35.3 32.1 17.3 15.4 1410 "black" "black" "black" "black"
"47" "000000649" 101 1 27.7 28.7 42.6 1200 "black" "black" "black" "black"
"48" "000000654" 171 43.3 28.1 14 14.6 1420 "black" "black" "black" "black"
"49" "000000675" 226 23.9 27.4 18.6 30.1 1320 "black" "black" "black" "black"
"50" "000000685" 72 11.1 25 31.9 31.9 1270 "black" "black" "black" "black"
"51" "000000695" 133 21.1 26.3 24.8 27.8 1310 "black" "black" "black" "black"
"52" "000000700" 152 19.7 27.6 23.7 28.9 1310 "black" "black" "black" "black"
"53" "000000712" 81 9.9 19.8 33.3 37 1240 "black" "black" "black" "black"
"54" "000000714" 96 25 26 20.8 28.1 1320 "black" "black" "black" "black"
"55" "000000719" 92 13 27.2 35.9 23.9 1290 "black" "black" "black" "black"
"56" "000000726" 150 22 34.7 28 15.3 1350 "black" "black" "black" "black"
"57" "000000732" 142 19.7 25.4 26.8 28.2 1290 "black" "black" "black" "black"
"58" "000000739" 102 26.5 25.5 21.6 26.5 1330 "black" "black" "black" "black"
"59" "000000742" 29 10.3 37.9 24.1 27.6 1300 "black" "black" "black" "black"
"60" "000000747" 92 20.7 25 28.3 26.1 1310 "black" "black" "black" "black"
"61" "000000753" 100 21 37 20 22 1330 "black" "black" "black" "black"
"62" "000000777" 228 17.5 28.5 26.8 27.2 1300 "black" "black" "black" "black"
"63" "000000788" 291 26.5 27.8 24.1 21.6 1350 "black" "black" "black" "black"
"64" "000000802" 315 31.4 29.2 21.6 17.8 1390 "black" "black" "black" "black"
"65" "000000808" 196 20.4 26.5 27.6 25.5 1320 "black" "black" "black" "black"
"66" "000000816" 139 32.4 31.7 18 18 1390 "black" "black" "black" "black"
"67" "000000820" 47 31.9 21.3 23.4 23.4 1360 "black" "black" "black" "black"
"68" "000000859" 545 4.6 16.9 20 58.5 1160 "black" "black" "black" "black"
"69" "000000864" 142 31 26.8 20.4 21.8 1360 "black" "black" "black" "black"
"70" "000000873" 215 24.2 25.6 22.3 27.9 1320 "black" "black" "black" "black"
"71" "000000887" 158 38.6 33.5 13.9 13.9 1450 "black" "black" "black" "black"
"72" "000000913" 569 21.8 27.8 22.1 28.3 1310 "black" "black" "black" "black"
"73" "000000917" 116 19.8 37.9 23.3 19 1350 "black" "black" "black" "black"
"74" "000000921" 62 33.9 29 19.4 17.7 1370 "black" "black" "black" "black"
"75" "000000941" 160 15 35 24.4 25.6 1300 "black" "black" "black" "black"
"76" "000000949" 160 31.9 32.5 20 15.6 1400 "black" "black" "black" "black"
"77" "000000951" 53 7.5 7.5 34 50.9 1180 "black" "black" "black" "black"
"78" "000000958" 175 16 24.6 27.4 32 1280 "black" "black" "black" "black"
"79" "000000964" 76 18.4 23.7 21.1 36.8 1270 "black" "black" "black" "black"
"80" "000000965" 79 40.5 27.8 8.9 22.8 1410 "black" "black" "black" "black"
"81" "000000988" 78 3.8 23.1 28.2 44.9 1200 "black" "black" "black" "black"
"82" "000001000" 158 15.8 26.6 22.2 35.4 1270 "black" "black" "black" "black"
"83" "000001005" 141 17.7 31.2 27 24.1 1310 "black" "black" "black" "black"
"84" "000001014" 70 5.7 25.7 22.9 45.7 1210 "black" "black" "black" "black"
"85" "000001029" 428 9.8 21.3 26.4 42.5 1230 "black" "black" "black" "black"
"86" "000001030" 250 2.4 14.8 24.4 58.4 1160 "black" "black" "black" "black"
"87" "000001040" 431 24.1 31.8 23 21.1 1350 "black" "black" "black" "black"
"88" "000001043" 611 40.6 28 18.3 13.1 1430 "black" "black" "black" "black"
"89" "000001062" 60 8.3 16.7 21.7 53.3 1190 "black" "black" "black" "black"
"90" "000001084" 90 46.7 31.1 14.4 7.8 1470 "black" "blue" "black" "blue"
"91" "000001094" 173 30.6 42.8 18.5 8.1 1410 "black" "black" "black" "black"
"92" "000001100" 461 29.5 32.8 19.3 18.4 1380 "black" "black" "black" "black"
"93" "000001128" 377 20.7 27.6 23.6 28.1 1310 "black" "black" "black" "black"
"94" "000001147" 608 31.7 26 19.4 22.9 1360 "black" "black" "black" "black"
"95" "000001154" 134 21.6 20.1 21.6 36.6 1280 "black" "black" "black" "black"
"96" "000001159" 172 30.8 36 18.6 14.5 1400 "black" "black" "black" "black"
"97" "000001164" 110 14.5 23.6 23.6 38.2 1260 "black" "black" "black" "black"
